"","VALUE","COUNT","CLASSNAMES","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"29",160,48408,"Tree Cover = 60%",10765.6800581191,4356.72,1.26179248664194,0.243137,0.54902,0.14902,"62","140","38"
"30",159,45762,"Tree Cover = 59%",10177.2238229146,4118.58,1.19282242137061,0.243137,0.54902,0.14902,"62","140","38"
"31",158,44323,"Tree Cover = 58%",9857.19792629347,3989.07,1.15531375775555,0.25098,0.560784,0.156863,"64","143","40"
"32",157,41570,"Tree Cover = 57%",9244.94546389052,3741.3,1.08355465356357,0.266667,0.568627,0.164706,"68","145","42"
"33",155,40284,"Tree Cover = 55%",8958.94594821664,3625.56,1.05003405494719,0.278431,0.588235,0.176471,"71","150","45"
"34",156,39344,"Tree Cover = 56%",8749.89498030572,3540.96,1.02553221770039,0.270588,0.580392,0.168627,"69","148","43"
"35",154,35757,"Tree Cover = 54%",7952.1653825435,3218.13,0.932034249397946,0.298039,0.6,0.184314,"76","153","47"
"36",153,34119,"Tree Cover = 53%",7587.88295122638,3070.71,0.88933849470617,0.305882,0.611765,0.196078,"78","156","50"
"37",152,32586,"Tree Cover = 52%",7246.95195781421,2932.74,0.849379647366431,0.309804,0.619608,0.2,"79","158","51"
"38",151,31140,"Tree Cover = 51%",6925.36929866613,2802.6,0.811688523261236,0.329412,0.631373,0.207843,"84","161","53"
"39",150,29432,"Tree Cover = 50%",6545.51924207904,2648.88,0.767168163668102,0.337255,0.639216,0.215686,"86","163","55"
"40",11,29001,"Open Water",6449.66714934542,2610.09,0.755933810632598,0,0,1,"0","0","255"
"41",149,28341,"Tree Cover = 49%",6302.88668251434,2550.69,0.738730392991223,0.337255,0.639216,0.215686,"86","163","55"
"42",148,26928,"Tree Cover = 48%",5988.64304670782,2423.52,0.701899439768098,0.352941,0.65098,0.227451,"90","166","58"
"43",188,26680,"Tree Cover = 88%",5933.48917432281,2401.2,0.69543512526043,0.039216,0.290196,0.023529,"10","74","6"
"44",147,25716,"Tree Cover = 47%",5719.10073489075,2314.44,0.6703077091903,0.364706,0.658824,0.239216,"93","168","61"
"45",145,24954,"Tree Cover = 45%",5549.63601409488,2245.86,0.650445581549804,0.388235,0.678431,0.25098,"99","173","64"
"46",13,24782,"Developed-Upland Deciduous Forest",5511.38413486011,2230.38,0.645962266649324,0.25098,0.239216,0.658824,"64","61","168"
"47",146,24719,"Tree Cover = 46%",5497.37327211715,2224.71,0.644320122238102,0.368627,0.670588,0.243137,"94","171","62"
"48",144,22436,"Tree Cover = 44%",4989.64629366966,2019.24,0.584811936669528,0.396078,0.690196,0.262745,"101","176","67"
"49",189,22239,"Tree Cover = 89%",4945.83454826705,2001.51,0.57967697716142,0.035294,0.278431,0.019608,"9","71","5"
"50",22,21253,"Developed-Low Intensity",4726.5534266073,1912.77,0.553976113836579,1,0.478431,0.560784,"255","122","143"
"51",143,20956,"Tree Cover = 43%",4660.50221653331,1886.04,0.54623457589796,0.403922,0.701961,0.266667,"103","179","68"
"52",142,20409,"Tree Cover = 42%",4538.85234478089,1836.81,0.531976591883063,0.419608,0.709804,0.278431,"107","181","71"
"53",16,20028,"Developed-Upland Herbaceous",4454.11998438295,1802.52,0.522045528062814,0.478431,0.556863,0.960784,"122","142","245"
"54",141,19093,"Tree Cover = 41%",4246.1809897056,1718.37,0.497674019737533,0.431373,0.721569,0.286275,"110","184","73"
"55",140,18105,"Tree Cover = 40%",4026.45507875242,1629.45,0.471921024844081,0.439216,0.729412,0.290196,"112","186","74"
"56",15,17565,"Developed-Upland Mixed Forest",3906.36196952699,1580.85,0.45784550131932,0.4,0.466667,0.803922,"102","119","205"
"57",139,16895,"Tree Cover = 39%",3757.35755622878,1520.55,0.440381425834894,0.45098,0.729412,0.298039,"115","186","76"
"58",138,15949,"Tree Cover = 38%",3546.97222043757,1435.41,0.415723193882256,0.462745,0.741176,0.309804,"118","189","79"
"59",190,15414,"Tree Cover = 90%",3427.99108444572,1387.26,0.40177799927902,0.035294,0.278431,0.019608,"9","71","5"
"60",137,15010,"Tree Cover = 37%",3338.14364717336,1350.9,0.391247422419755,0.466667,0.74902,0.313725,"119","191","80"
"61",191,14760,"Tree Cover = 91%",3282.54498549493,1328.4,0.384730976343476,0.027451,0.270588,0.015686,"7","69","4"
"62",136,13918,"Tree Cover = 36%",3095.28869296195,1252.62,0.362783585958571,0.486275,0.760784,0.32549,"124","194","83"
"63",135,13882,"Tree Cover = 35%",3087.28248568026,1249.38,0.361845217723586,0.498039,0.768627,0.337255,"127","196","86"
"64",134,12368,"Tree Cover = 34%",2750.57699055564,1113.12,0.322381620285645,0.501961,0.780392,0.345098,"128","199","88"
"65",133,11182,"Tree Cover = 33%",2486.81693955313,1006.38,0.29146760009978,0.521569,0.788235,0.356863,"133","201","91"
"66",23,10489,"Developed-Medium Intensity",2332.69744938051,944.01,0.273404011576336,0.992157,0.172549,0.309804,"253","44","79"
"67",132,10274,"Tree Cover = 32%",2284.88260033705,924.66,0.267799867950737,0.533333,0.8,0.368627,"136","204","94"
"68",64,10172,"NASS-Row Crop",2262.19834637225,915.48,0.265141157951615,0.980392,1,0.466667,"250","255","119"
"69",131,9682,"Tree Cover = 31%",2153.22496948251,871.38,0.252368923642109,0.541176,0.811765,0.372549,"138","207","95"
"70",130,8725,"Tree Cover = 30%",1940.39329257745,785.25,0.227423968062116,0.560784,0.819608,0.384314,"143","209","98"
"71",129,8090,"Tree Cover = 29%",1799.17269191422,728.1,0.210872195028369,0.564706,0.819608,0.392157,"144","209","100"
"72",359,7409,"Herb Cover = 59%",1647.72193750216,666.81,0.193121395916586,1,0.513725,0.188235,"255","131","48"
"73",358,7358,"Herb Cover = 58%",1636.37981051976,662.22,0.191792040917026,1,0.529412,0.188235,"255","135","48"
"74",128,7241,"Tree Cover = 28%",1610.35963685425,651.69,0.188742344153327,0.572549,0.831373,0.4,"146","212","102"
